DENGUE CASES IN DAVAO CITY BY DISTRICT 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBIDITYWEEK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
MARILOG,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,4,0,2,5,0,4,2,2,0,4,2,1,0,0,0,0,1,0,2,0,0,1,4,1,0,0,0,0,2,0,44
OTHERS,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8
PAQUIBATO,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,19
SASA,12,5,1,2,2,7,9,5,4,7,9,3,4,9,5,12,8,6,15,11,16,14,14,10,15,16,14,14,9,13,10,12,16,7,7,8,8,15,8,12,5,7,4,6,0,3,6,4,1,3,5,5,423
TALOMO,1,0,2,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
TALOMO NORTH,12,16,15,16,18,11,24,16,14,19,19,16,19,15,15,14,10,24,17,27,26,28,36,21,29,37,19,21,20,26,22,16,19,21,8,6,9,16,12,16,4,13,7,2,1,5,7,7,7,6,11,6,821
TALOMO SOUTH,13,13,8,9,13,15,8,10,13,13,15,14,11,10,12,11,23,29,24,28,23,33,47,47,61,28,25,30,36,53,43,35,44,31,14,17,24,25,26,24,18,16,19,17,14,22,19,11,16,14,12,14,1150
TIGATTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TORIL,3,2,1,6,0,3,1,4,0,2,3,2,2,3,0,3,3,2,2,6,7,3,7,10,6,10,2,6,6,10,7,6,11,8,3,1,3,0,2,1,1,5,5,4,5,5,4,6,5,1,3,3,204
TUGBOK,1,0,3,5,0,2,2,0,4,1,3,2,1,1,1,3,3,5,7,5,3,10,6,5,11,14,1,9,11,10,8,6,15,6,5,2,7,6,6,5,7,6,5,1,2,3,2,2,1,5,8,0,237
TOTAL,88,84,81,88,102,83,91,98,84,95,122,84,92,105,100,117,114,129,164,175,172,186,242,236,279,246,130,233,190,270,242,194,200,144,79,92,120,133,131,150,105,102,74,79,49,85,79,79,70,85,84,80,6736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
