DENGUE CASES IN DAVAO CITY BY DISTRICT 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBIDITYWEEK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
PAQUIBATO,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11
SASA,6,4,7,3,5,3,2,6,5,3,3,2,2,3,2,2,1,2,1,3,4,2,5,3,8,3,6,5,6,1,2,10,5,5,9,6,1,2,3,3,0,1,3,1,2,2,2,1,3,1,1,1,172
TALOMO NORTH,6,4,10,12,11,10,9,6,13,9,3,7,2,2,6,8,2,6,11,2,11,2,5,7,9,8,3,11,7,9,12,8,12,9,14,11,5,4,2,0,3,2,5,1,2,3,2,4,1,9,9,3,332
TALOMO SOUTH,2,5,5,3,4,6,5,4,2,6,2,2,5,2,2,1,1,2,3,3,6,6,1,8,4,4,3,5,9,9,1,7,4,7,4,5,8,6,4,5,1,0,3,2,1,3,2,1,5,3,3,4,199
TORIL,4,2,2,2,0,1,1,1,1,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,3,0,1,0,1,2,1,1,2,2,2,2,0,1,1,0,0,2,1,0,0,1,0,1,1,3,0,1,50
TUGBOK,1,2,1,1,0,3,3,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,1,2,3,2,2,1,6,8,2,0,0,3,1,0,2,1,0,0,0,1,0,1,1,0,2,2,0,0,60
TOTAL,58,44,70,56,48,62,51,42,47,43,25,26,20,27,22,22,19,24,35,27,30,31,22,35,49,49,48,48,43,44,50,60,64,52,52,54,32,27,32,22,11,19,20,12,11,19,18,20,29,29,22,25,1847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
