DENGUE CASES IN DAVAO CITY BY DISTRICT 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBIDITYWEEK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
PAQUIBATO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,2,0,17
SASA,6,7,5,7,4,1,2,1,0,0,0,0,2,4,2,0,0,0,1,1,0,1,1,2,0,2,5,2,2,1,8,1,3,2,1,4,0,4,8,9,4,6,2,8,6,8,4,7,12,6,7,2,171
TALOMO NORTH,12,13,8,10,16,5,8,7,0,3,1,1,2,4,2,3,5,2,5,4,4,5,3,2,6,6,8,15,16,11,5,7,7,5,1,3,10,10,12,11,9,4,10,3,13,14,10,13,16,12,10,6,378
TALOMO SOUTH,12,12,3,7,9,3,4,2,2,4,2,1,1,1,4,4,3,4,4,0,2,6,1,7,3,2,3,3,6,8,5,5,6,2,5,9,4,5,6,14,7,8,4,5,16,4,7,8,14,7,12,2,278
TORIL,2,0,3,2,1,1,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,1,0,2,0,1,1,1,0,0,2,3,0,2,0,2,0,0,1,1,0,0,1,1,0,1,42
TUGBOK,4,2,3,1,1,2,1,3,2,0,2,3,1,1,1,1,1,0,1,0,3,4,3,7,5,2,5,5,8,1,4,0,3,1,2,3,4,1,1,2,2,1,1,1,2,2,2,1,4,4,4,2,120
TOTAL,80,67,51,53,51,28,33,26,19,24,16,12,17,22,17,12,20,17,26,18,16,32,24,36,33,33,51,47,72,39,46,38,41,37,33,54,43,58,64,69,41,51,49,55,78,60,60,65,89,68,85,30,2206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
